epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1815.15,0.513,0.39452,0.84477,0.98862,0.99815,0.99432,0.85875,0.5842,0.37638,0.87316,0.0017228,0.0017228,0.0017228
44,1857.11,0.55384,0.41993,0.8763,0.98522,0.98851,0.99434,0.88262,0.53709,0.38766,0.85771,0.0017162,0.0017162,0.0017162
45,1900.08,0.51471,0.39267,0.87089,0.9866,0.97701,0.99423,0.86978,0.60958,0.39098,0.87236,0.0017096,0.0017096,0.0017096
46,1943.13,0.50955,0.38708,0.87358,1,0.979,0.99467,0.89513,0.5679,0.37943,0.86873,0.001703,0.001703,0.001703
47,1986.4,0.53494,0.40237,0.87502,0.97751,0.99918,0.99455,0.88723,0.55126,0.36769,0.8566,0.0016964,0.0016964,0.0016964
48,2029.19,0.49636,0.37436,0.86004,0.97674,1,0.99466,0.88616,0.51837,0.35343,0.8558,0.0016898,0.0016898,0.0016898
49,2073.24,0.50362,0.37926,0.85662,0.98854,0.99156,0.99489,0.89055,0.52355,0.36364,0.85502,0.0016832,0.0016832,0.0016832
50,2115.87,0.50406,0.37655,0.86542,0.98863,0.99923,0.99477,0.89292,0.52829,0.36947,0.86023,0.0016766,0.0016766,0.0016766
51,2157.66,0.54249,0.39793,0.87425,0.98615,1,0.99477,0.87486,0.55143,0.34536,0.85702,0.00167,0.00167,0.00167
52,2200.08,0.49412,0.36704,0.85559,0.97752,1,0.99489,0.88952,0.52737,0.34338,0.85746,0.0016634,0.0016634,0.0016634
53,2242.13,0.47997,0.36192,0.85203,0.97652,1,0.99455,0.90009,0.51958,0.32965,0.8612,0.0016568,0.0016568,0.0016568
54,2284.07,0.51622,0.39367,0.85667,0.97666,1,0.99466,0.88379,0.55273,0.3462,0.86654,0.0016502,0.0016502,0.0016502
55,2326.03,0.49178,0.37549,0.85991,0.97557,1,0.99443,0.90209,0.56563,0.34349,0.86854,0.0016436,0.0016436,0.0016436
56,2368.74,0.5187,0.39144,0.86562,0.97665,1,0.99466,0.89757,0.54325,0.34472,0.85907,0.001637,0.001637,0.001637
57,2411.69,0.5192,0.40231,0.8586,0.97752,0.99982,0.9942,0.8992,0.51221,0.39231,0.85646,0.0016304,0.0016304,0.0016304
58,2454.37,0.50462,0.38576,0.87664,0.98675,1,0.99432,0.88544,0.54386,0.36114,0.86467,0.0016238,0.0016238,0.0016238
59,2497.15,0.50157,0.39826,0.86511,1,0.98831,0.99489,0.89734,0.5347,0.37622,0.8639,0.0016172,0.0016172,0.0016172
60,2541.03,0.50533,0.37387,0.85944,0.97498,1,0.99466,0.8875,0.55387,0.36164,0.86521,0.0016106,0.0016106,0.0016106
61,2583.35,0.47187,0.36531,0.85578,0.97644,1,0.99466,0.89053,0.55414,0.33842,0.86141,0.001604,0.001604,0.001604
62,2625.84,0.50668,0.36095,0.8583,0.98861,0.99756,0.99477,0.90144,0.55018,0.34354,0.85249,0.0015974,0.0015974,0.0015974
63,2669.08,0.52451,0.38944,0.88224,0.97725,1,0.99443,0.89003,0.5367,0.34854,0.85238,0.0015908,0.0015908,0.0015908
64,2711.55,0.48694,0.35686,0.85041,0.97674,1,0.99374,0.89019,0.55521,0.36768,0.85784,0.0015842,0.0015842,0.0015842
65,2753.94,0.48101,0.35764,0.85447,0.97702,1,0.99477,0.89655,0.52643,0.32013,0.85961,0.0015776,0.0015776,0.0015776
66,2797.01,0.46921,0.35947,0.85707,0.98862,0.99836,0.99409,0.90391,0.52584,0.34148,0.86544,0.001571,0.001571,0.001571
67,2840.07,0.46453,0.35645,0.84468,0.98863,0.99927,0.99443,0.89362,0.53014,0.31378,0.85829,0.0015644,0.0015644,0.0015644
68,2882.5,0.45854,0.33966,0.84549,0.98486,1,0.99477,0.90584,0.49924,0.3171,0.84785,0.0015578,0.0015578,0.0015578
69,2925.45,0.4666,0.34601,0.8576,0.98743,1,0.99489,0.90872,0.49372,0.31968,0.84802,0.0015512,0.0015512,0.0015512
70,2968.37,0.45334,0.31876,0.84067,0.98859,0.99632,0.99489,0.90604,0.51605,0.30158,0.86171,0.0015446,0.0015446,0.0015446
71,3011.67,0.44571,0.34222,0.84362,0.98851,0.98925,0.99489,0.88592,0.53678,0.32105,0.86479,0.001538,0.001538,0.001538
72,3053.48,0.4315,0.33783,0.84407,0.98859,0.99574,0.99455,0.90182,0.53419,0.3318,0.86082,0.0015314,0.0015314,0.0015314
73,3095.08,0.4731,0.35011,0.85257,0.98846,0.98419,0.99444,0.90629,0.51073,0.32353,0.85332,0.0015248,0.0015248,0.0015248
74,3137,0.46577,0.33964,0.84166,0.98847,0.98511,0.99432,0.89221,0.53505,0.33138,0.84795,0.0015182,0.0015182,0.0015182
75,3178.14,0.46925,0.35055,0.85646,0.97662,1,0.99305,0.89992,0.51618,0.3342,0.84817,0.0015116,0.0015116,0.0015116
76,3218.01,0.43763,0.32928,0.83744,0.98863,0.99923,0.99477,0.90669,0.50379,0.31006,0.84983,0.001505,0.001505,0.001505
77,3257.63,0.45833,0.31865,0.83531,0.98861,0.99753,0.99466,0.91807,0.51016,0.31553,0.85624,0.0014984,0.0014984,0.0014984
78,3297.71,0.46598,0.33045,0.84468,0.98863,0.99958,0.99489,0.91337,0.50292,0.31803,0.849,0.0014918,0.0014918,0.0014918
79,3337.96,0.4585,0.33369,0.85186,0.97678,1,0.99478,0.92742,0.48046,0.29726,0.84053,0.0014852,0.0014852,0.0014852
80,3377.01,0.46199,0.32847,0.84425,0.97656,1,0.99455,0.92624,0.49318,0.30748,0.8406,0.0014786,0.0014786,0.0014786
81,3419.15,0.48545,0.34227,0.85235,0.97657,1,0.99478,0.91723,0.50626,0.31744,0.8418,0.001472,0.001472,0.001472
82,3462.88,0.5075,0.35577,0.86101,1,0.98376,0.99478,0.91599,0.50129,0.32402,0.84956,0.0014654,0.0014654,0.0014654
83,3507.04,0.48298,0.34387,0.85886,0.97738,1,0.99443,0.90615,0.50036,0.3176,0.84856,0.0014588,0.0014588,0.0014588
84,3550.26,0.45031,0.32691,0.84704,0.97446,1,0.99466,0.92941,0.47147,0.28163,0.84444,0.0014522,0.0014522,0.0014522
85,3593.83,0.44467,0.31942,0.83887,0.98456,0.98851,0.99386,0.91339,0.49506,0.29043,0.84505,0.0014456,0.0014456,0.0014456
86,3637.71,0.42395,0.31167,0.83514,0.97598,1,0.9942,0.92948,0.4879,0.28982,0.84402,0.001439,0.001439,0.001439
87,3681.58,0.44081,0.33012,0.84751,0.97711,1,0.99421,0.92217,0.51948,0.30227,0.84403,0.0014324,0.0014324,0.0014324
88,3725.35,0.43875,0.31672,0.83936,0.9766,1,0.99466,0.91134,0.5198,0.30903,0.84917,0.0014258,0.0014258,0.0014258
89,3769.62,0.45918,0.33364,0.84451,0.97653,1,0.99478,0.90186,0.52373,0.31616,0.8481,0.0014192,0.0014192,0.0014192
90,3813.3,0.44602,0.32478,0.84972,0.97728,1,0.99489,0.91747,0.48886,0.30571,0.84688,0.0014126,0.0014126,0.0014126
91,3857.07,0.44263,0.31216,0.84243,0.97724,1,0.99489,0.90916,0.4863,0.30404,0.84597,0.001406,0.001406,0.001406
92,3901.28,0.44588,0.31807,0.8471,0.99013,0.98851,0.99478,0.91093,0.50876,0.3078,0.85426,0.0013994,0.0013994,0.0013994
93,3944.94,0.45197,0.31854,0.83888,1,0.98449,0.995,0.91215,0.51453,0.30748,0.84662,0.0013928,0.0013928,0.0013928
94,3987.92,0.43966,0.30894,0.84418,0.97656,1,0.99466,0.91491,0.51246,0.29917,0.84548,0.0013862,0.0013862,0.0013862
95,4030.76,0.43987,0.31654,0.84408,0.97629,1,0.99466,0.9152,0.50816,0.30175,0.85763,0.0013796,0.0013796,0.0013796
96,4073.94,0.42575,0.30032,0.84616,0.98857,0.99452,0.99489,0.9163,0.51602,0.29381,0.86375,0.001373,0.001373,0.001373
97,4116.62,0.42514,0.30664,0.84548,0.97689,1,0.99455,0.91032,0.52523,0.31368,0.85926,0.0013664,0.0013664,0.0013664
98,4159.75,0.42991,0.31146,0.83816,0.98469,1,0.99443,0.9067,0.53048,0.30226,0.86848,0.0013598,0.0013598,0.0013598
99,4203.51,0.41007,0.30243,0.84686,0.98797,1,0.99466,0.91143,0.52458,0.28646,0.85389,0.0013532,0.0013532,0.0013532
100,4247.53,0.4097,0.2969,0.83871,0.98836,1,0.99489,0.91719,0.50938,0.29328,0.85679,0.0013466,0.0013466,0.0013466
101,4290.52,0.45459,0.31065,0.8493,0.98735,1,0.99477,0.9008,0.51711,0.29198,0.85028,0.00134,0.00134,0.00134
102,4333.6,0.43297,0.30694,0.82999,0.98772,1,0.99489,0.90728,0.49727,0.28401,0.85519,0.0013334,0.0013334,0.0013334
103,4377.27,0.4395,0.31376,0.84841,0.98779,1,0.99489,0.91959,0.49337,0.29558,0.85675,0.0013268,0.0013268,0.0013268
104,4419.9,0.41578,0.30294,0.8267,1,0.99871,0.995,0.91078,0.50627,0.29075,0.86018,0.0013202,0.0013202,0.0013202
105,4462.7,0.4109,0.29828,0.82912,0.98941,0.98851,0.99478,0.91273,0.51473,0.29067,0.85767,0.0013136,0.0013136,0.0013136
106,4505.06,0.42185,0.30952,0.83063,0.9774,1,0.99478,0.91496,0.50318,0.30361,0.85254,0.001307,0.001307,0.001307
107,4547.7,0.43699,0.31753,0.84908,0.98863,0.99938,0.99477,0.90607,0.51163,0.29808,0.85609,0.0013004,0.0013004,0.0013004
108,4590.31,0.40118,0.29227,0.83305,0.98863,0.99905,0.99455,0.91739,0.50116,0.30151,0.85876,0.0012938,0.0012938,0.0012938
109,4632.95,0.42422,0.32203,0.84909,0.98862,0.99852,0.99477,0.9219,0.50818,0.29448,0.86096,0.0012872,0.0012872,0.0012872
110,4675.24,0.42482,0.3094,0.83224,0.98859,0.99597,0.99489,0.93135,0.49689,0.2876,0.84848,0.0012806,0.0012806,0.0012806
111,4718.13,0.43759,0.3079,0.83772,0.9886,0.99663,0.99489,0.93346,0.48923,0.28304,0.84672,0.001274,0.001274,0.001274
112,4761.35,0.39934,0.28324,0.83565,0.98862,0.9985,0.99489,0.93751,0.47989,0.28204,0.84274,0.0012674,0.0012674,0.0012674
113,4804.38,0.41078,0.30029,0.83497,0.98862,0.9986,0.99489,0.93889,0.4641,0.27696,0.84194,0.0012608,0.0012608,0.0012608
114,4846.72,0.4026,0.29219,0.83793,0.98863,0.99929,0.99489,0.92351,0.495,0.28476,0.84447,0.0012542,0.0012542,0.0012542
115,4886.78,0.4263,0.29959,0.83973,0.9882,1,0.99477,0.91365,0.48751,0.28278,0.8439,0.0012476,0.0012476,0.0012476
116,4925.56,0.40657,0.30389,0.83608,0.97669,1,0.99466,0.92483,0.47603,0.27012,0.84238,0.001241,0.001241,0.001241
117,4964.58,0.40962,0.29428,0.83236,0.97788,1,0.99477,0.9323,0.47319,0.27956,0.84113,0.0012344,0.0012344,0.0012344
118,5004.05,0.42419,0.30977,0.83788,0.98863,0.99948,0.99466,0.92132,0.47836,0.26231,0.84798,0.0012278,0.0012278,0.0012278
119,5043.99,0.41811,0.29361,0.83257,0.98643,0.98851,0.99397,0.91702,0.50264,0.27509,0.85354,0.0012212,0.0012212,0.0012212
120,5084.05,0.40752,0.2905,0.83785,0.9775,0.9988,0.99466,0.92599,0.47962,0.28606,0.85122,0.0012146,0.0012146,0.0012146
121,5126.25,0.39945,0.28598,0.84817,0.98862,0.99893,0.99477,0.91119,0.49929,0.28174,0.85214,0.001208,0.001208,0.001208
122,5170.27,0.39365,0.28987,0.82743,0.98862,0.99875,0.99455,0.90871,0.49654,0.28907,0.85473,0.0012014,0.0012014,0.0012014
123,5214.64,0.42567,0.30566,0.84217,0.9766,1,0.99443,0.91484,0.53022,0.29392,0.85909,0.0011948,0.0011948,0.0011948
124,5258.5,0.37868,0.27303,0.83472,0.97675,1,0.99466,0.92304,0.5071,0.27862,0.86057,0.0011882,0.0011882,0.0011882
125,5302.58,0.39789,0.29385,0.83857,0.97667,1,0.99466,0.92309,0.50199,0.28474,0.85188,0.0011816,0.0011816,0.0011816
126,5347.4,0.40236,0.29828,0.83971,0.98859,0.99613,0.99489,0.93022,0.49075,0.27008,0.84634,0.001175,0.001175,0.001175
127,5391.04,0.39756,0.29506,0.85402,0.98592,1,0.99477,0.93614,0.50167,0.27067,0.84685,0.0011684,0.0011684,0.0011684
128,5434.5,0.38333,0.28915,0.83828,0.98854,0.9916,0.99489,0.91973,0.49069,0.26394,0.85028,0.0011618,0.0011618,0.0011618
129,5478.49,0.3898,0.28542,0.83534,0.97721,1,0.99477,0.92179,0.48219,0.26864,0.85318,0.0011552,0.0011552,0.0011552
130,5521.86,0.37938,0.28254,0.82643,0.97713,1,0.99477,0.92052,0.48677,0.27352,0.85855,0.0011486,0.0011486,0.0011486
131,5566,0.39449,0.28102,0.83306,1,0.98555,0.99478,0.92752,0.49415,0.26599,0.85365,0.001142,0.001142,0.001142
132,5609.81,0.39162,0.28014,0.83288,1,0.98482,0.99478,0.92716,0.48127,0.26115,0.84633,0.0011354,0.0011354,0.0011354
133,5653.52,0.3827,0.27038,0.82693,0.98861,0.99794,0.99489,0.90873,0.50533,0.27568,0.85142,0.0011288,0.0011288,0.0011288
134,5697.69,0.3851,0.27611,0.82041,0.98861,0.99795,0.99489,0.9168,0.50318,0.26369,0.85295,0.0011222,0.0011222,0.0011222
135,5741.31,0.37997,0.27053,0.82482,1,0.98673,0.99489,0.91987,0.49973,0.26832,0.86431,0.0011156,0.0011156,0.0011156
136,5784.41,0.40147,0.28343,0.83276,0.97811,1,0.99477,0.90654,0.50489,0.2644,0.86046,0.001109,0.001109,0.001109
137,5827.27,0.38521,0.279,0.83593,1,0.98697,0.99489,0.92269,0.50325,0.26643,0.85831,0.0011024,0.0011024,0.0011024
138,5870.21,0.37771,0.27346,0.82128,0.97726,1,0.99489,0.92634,0.49481,0.27978,0.84595,0.0010958,0.0010958,0.0010958
139,5913.94,0.38707,0.28644,0.82788,0.97678,1,0.99477,0.91929,0.51745,0.28242,0.85557,0.0010892,0.0010892,0.0010892
140,5957.23,0.41837,0.29854,0.84392,0.97682,1,0.99477,0.9203,0.52579,0.27863,0.85876,0.0010826,0.0010826,0.0010826
141,6000.16,0.38784,0.28055,0.83088,0.97675,1,0.99478,0.91697,0.51388,0.28427,0.85467,0.001076,0.001076,0.001076
142,6043.58,0.40649,0.2842,0.83519,0.97664,1,0.99478,0.93008,0.51637,0.27171,0.85859,0.0010694,0.0010694,0.0010694
143,6086.98,0.36719,0.26425,0.81915,0.9886,0.99724,0.99477,0.92144,0.50225,0.27234,0.85319,0.0010628,0.0010628,0.0010628
144,6129.98,0.39184,0.29195,0.83466,0.98858,0.9947,0.99386,0.92009,0.49294,0.28051,0.85066,0.0010562,0.0010562,0.0010562
145,6172.81,0.38408,0.27968,0.83212,0.98861,0.99735,0.99455,0.92088,0.48973,0.26882,0.84898,0.0010496,0.0010496,0.0010496
146,6215.89,0.38557,0.27784,0.83137,0.9886,0.99655,0.99489,0.92886,0.48178,0.25697,0.84983,0.001043,0.001043,0.001043
147,6259.11,0.37589,0.26866,0.83151,0.98861,0.99754,0.99477,0.93555,0.4894,0.26748,0.85296,0.0010364,0.0010364,0.0010364
148,6301.99,0.3893,0.27761,0.82856,0.98861,0.99783,0.99477,0.92135,0.49237,0.26624,0.85981,0.0010298,0.0010298,0.0010298
149,6345.22,0.39402,0.27157,0.83829,0.98862,0.99826,0.99489,0.90579,0.51209,0.27607,0.86195,0.0010232,0.0010232,0.0010232
150,6388.52,0.3748,0.26893,0.83406,0.98664,1,0.99477,0.91366,0.50632,0.26513,0.85431,0.0010166,0.0010166,0.0010166
151,6430.95,0.39525,0.27382,0.83202,0.97748,1,0.99477,0.91802,0.49913,0.26073,0.85237,0.00101,0.00101,0.00101
152,6474.08,0.38419,0.27322,0.82965,0.98863,0.99947,0.99477,0.92715,0.50155,0.2647,0.85872,0.0010034,0.0010034,0.0010034
153,6517.57,0.38287,0.26901,0.8336,0.98856,0.99358,0.99489,0.92611,0.4896,0.26678,0.86097,0.0009968,0.0009968,0.0009968
154,6560.46,0.35962,0.25554,0.82807,0.9886,0.99643,0.99489,0.92086,0.48434,0.2554,0.85867,0.0009902,0.0009902,0.0009902
155,6603.35,0.37028,0.26935,0.82996,0.9886,0.99646,0.99477,0.93157,0.50766,0.26201,0.85943,0.0009836,0.0009836,0.0009836
156,6645.87,0.38737,0.26168,0.82851,0.9886,0.99702,0.99477,0.92675,0.49264,0.25851,0.85157,0.000977,0.000977,0.000977
157,6688.39,0.3662,0.26725,0.8197,0.98862,0.99862,0.99489,0.92222,0.4954,0.26021,0.85296,0.0009704,0.0009704,0.0009704
158,6730.22,0.37082,0.25922,0.82848,0.98825,1,0.99489,0.92362,0.49233,0.26883,0.85632,0.0009638,0.0009638,0.0009638
159,6772.24,0.38105,0.26724,0.82995,0.98723,1,0.99489,0.93225,0.49151,0.26186,0.85949,0.0009572,0.0009572,0.0009572
160,6814.68,0.38262,0.28171,0.83678,1,0.98641,0.99489,0.9372,0.48885,0.25858,0.85847,0.0009506,0.0009506,0.0009506
161,6856.8,0.38043,0.26022,0.82549,0.98852,0.98934,0.99489,0.93253,0.49887,0.2572,0.8615,0.000944,0.000944,0.000944
162,6899.24,0.39559,0.27874,0.83593,0.98858,0.99518,0.99477,0.91855,0.52086,0.27621,0.86534,0.0009374,0.0009374,0.0009374
163,6941.62,0.38426,0.27073,0.81976,0.98859,0.99616,0.99466,0.9197,0.50828,0.26963,0.86546,0.0009308,0.0009308,0.0009308
